name,value,year,lastValue,rank
Ingvar Kamprad,28,2006,23,4
Lakshmi Mittal,23.5,2006,25,5
Paul Allen,22,2006,21,6
Bernard Arnault,21.5,2006,0,7
Al-Waleed bin Talal,20,2006,23.7,8
Kenneth Thomson,19.6,2006,0,9
Li Ka-shing,18.8,2006,0,10
Bill Gates,46.5,2005,46.6,1
Warren Buffett,44,2005,42.9,2
Lakshmi Mittal,25,2005,0,3
Carlos Slim,23.8,2005,0,4
Al-Waleed bin Talal,23.7,2005,21.5,5
Ingvar Kamprad,23,2005,0,6
Paul Allen,21,2005,21,7
Karl Albrecht,18.5,2005,23,8
Larry Ellison,18.4,2005,0,9
S. Robson Walton,18.3,2005,20,10
Bill Gates,46.6,2004,40.7,1
Warren Buffett,42.9,2004,30.5,2
Karl Albrecht,23,2004,25.6,3
Al-Waleed bin Talal,21.5,2004,17.7,4
Paul Allen,21,2004,20.1,5
Alice Walton,20,2004,16.5,6
Helen Walton,20,2004,16.5,7
Jim Walton,20,2004,16.5,8
John Walton,20,2004,16.5,9
S. Robson Walton,20,2004,0,10
Bill Gates,40.7,2003,52.8,1
Warren Buffett,30.5,2003,35,2
Karl Albrecht,25.6,2003,26.8,3
Paul Allen,20.1,2003,25.2,4
Al-Waleed bin Talal,17.7,2003,0,5
Larry Ellison,16.6,2003,23.5,6
Alice Walton,16.5,2003,20.5,7
Helen Walton,16.5,2003,20.5,8
Jim Walton,16.5,2003,20.8,9
John Walton,16.5,2003,20.7,10
Bill Gates,52.8,2002,58.7,1
Warren Buffett,35,2002,32.3,2
Karl Albrecht,26.8,2002,25,3
Paul Allen,25.2,2002,30.4,4
Larry Ellison,23.5,2002,26,5
Jim Walton,20.8,2002,18.8,6
John Walton,20.7,2002,18.7,7
Alice Walton,20.5,2002,18.5,8
S. Robson Walton,20.5,2002,18.6,9
Helen Walton,20.5,2002,0,10
Bill Gates,58.7,2001,60,1
Warren Buffett,32.3,2001,25.6,2
Paul Allen,30.4,2001,28,3
Larry Ellison,26,2001,47,4
Karl Albrecht,25,2001,20,5
Al-Waleed bin Talal,20,2001,20,6
Jim Walton,18.8,2001,0,7
John Walton,18.7,2001,0,8
S. Robson Walton,18.6,2001,20,9
Alice Walton,18.5,2001,0,10
Bill Gates,60,2000,60,1
Larry Ellison,47,2000,47,2
Paul Allen,28,2000,28,3
Warren Buffett,25.6,2000,25.6,4
Karl Albrecht,20,2000,20,5
Al-Waleed bin Talal,20,2000,20,6
S. Robson Walton,20,2000,20,7
Masayoshi Son,20,2000,20,8
Michael Dell,19.1,2000,19.1,9
Kenneth Thomson,16.1,2000,16.1,10
